國家,地區,人數,比例(10^(-5))
台灣,臺北市,7021,273
台灣,新北市,3066,076
台灣,桃園市,3791,167
台灣,臺中市,4057,144
台灣,臺南市,2429,123
台灣,高雄市,5996,217
台灣,新竹縣,785,137
台灣,彰化縣,902,71
台灣,雲林縣,363,54
台灣,屏東縣,850,105
台灣,基隆市,424,115
台灣,宜蘭縣,710,157
台灣,新竹市,521,115
台灣,苗栗縣,336,062
台灣,嘉義市,667,251
台灣,嘉義縣,771,155
台灣,花蓮縣,818,252
台灣,臺東縣,187,087
台灣,南投縣,286,058
台灣,澎湖縣,90,085
台灣,金門縣,77,055
台灣,連江縣,50,375
