藍方勝,守衛放置數,守衛破壞數,首殺,擊殺數,助攻數,小龍擊殺數,預示者擊殺數,推塔數,總經濟,平均等級,總經驗,總小兵擊殺,總野怪擊殺
,0,0,,1,1,0,,,3,0,2,0,0
,,2,,,,,,,1,,,5,
,1,,1,1,,,1,,1,,3,3,1
,1,,1,1,2,3,1,,,,1,1,2
,2,2,,2,,,,,1,,1,2,2
,1,1,,,2,,,,1,1,3,3,
,5,5,2,5,5,3,2,,7,1,10,14,5
